Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Brand,Product_Price,Price_Per_Unit,Weight_g,Price_Per_kg,Energy_kcal_100_g,Fats_In_Product_g,Carbs_In_Product_g,Sugars_In_Product_g,Protein_In_Product_g,Salt_In_Product_g
alpro-plantaardige-variatie-op-yoghurt-naturel-500g-45178POT.html,2026-06-26,Jumbo,Yoghurt,45178POT,Alpro_Plantaardige_Variatie_Op_Yoghurt_Naturel_500g,Alpro,2.4,4.8,500.0,4.8,50.7,11.5,10.5,10.5,20.0,1.2
alpro-plantaardige-variatie-op-yoghurt-naturel-zonder-suiker-500g-192073BAK.html,2026-06-26,Jumbo,Yoghurt,192073BAK,Alpro_Plantaardige_Variatie_Op_Yoghurt_Naturel_Zonder_Suiker_500g,Alpro,2.5,5.0,500.0,5.0,42.3,11.5,0.0,0.0,20.0,1.2
alpro-plantaardige-variatie-op-yoghurt-perzik-500g-522825BAK.html,2026-06-26,Jumbo,Yoghurt,522825BAK,Alpro_Plantaardige_Variatie_Op_Yoghurt_Perzik_500g,Alpro,2.7,5.4,500.0,5.4,69.8,10.5,41.5,41.0,18.0,1.2
alpro-plantaardige-variatie-op-yoghurt-vanille-500g-10329BKR.html,2026-06-26,Jumbo,Yoghurt,10329BKR,Alpro_Plantaardige_Variatie_Op_Yoghurt_Vanille_500g,Alpro,2.8,5.6,500.0,5.6,66.7,11.0,37.5,37.5,18.5,1.0
arla-bio-vanille-yoghurt-halfvol-1-l-408145PAK.html,2026-06-26,Jumbo,Yoghurt,408145PAK,Arla_Bio_Vanille_Yoghurt_Halfvol_1_L,Arla,2.4,2.4,1000.0,2.4,69.1,15.0,100.0,91.0,28.0,0.9
arla-bio-volle-yoghurt-1-l-195351PAK.html,2026-06-26,Jumbo,Yoghurt,195351PAK,Arla_Bio_Volle_Yoghurt_1_L,Arla,2.0,2.0,1000.0,2.0,60.0,30.0,39.0,38.0,34.0,1.1
arla-biologisch-milde-halfvolle-yoghurt-1-l-95945PAK.html,2026-06-26,Jumbo,Yoghurt,95945PAK,Arla_Biologisch_Milde_Halfvolle_Yoghurt_1_L,Arla,2.0,2.0,1000.0,2.0,51.1,16.0,45.0,45.0,39.0,1.3
arla-biologisch-skyr-naturel-yoghurt-450-g-196776BKR.html,2026-06-26,Jumbo,Yoghurt,196776BKR,Arla_biologisch_Skyr_Naturel_Yoghurt_450_g,Arla,2.6,5.8,449.7,5.8,64.3,0.0,18.0,18.0,49.5,0.6
arla-lactofree-griekse-stijl-yoghurt-lactosevrij-450g-498514CUP.html,2026-06-26,Jumbo,Yoghurt,498514CUP,Arla_Lactofree_griekse_stijl_yoghurt_lactosevrij_450g,Arla,2.2,4.9,449.7,4.9,104.4,36.0,18.9,18.9,15.7,0.6
arla-lactofree-halfvolle-yoghurt-lactosevrij-1l-209076PAK.html,2026-06-26,Jumbo,Yoghurt,209076PAK,Arla_Lactofree_halfvolle_yoghurt_lactosevrij_1L,Arla,2.5,2.5,1000.0,2.5,42.8,15.0,22.0,22.0,43.0,0.9
arla-lactofree-volle-yoghurt-lactosevrij-1l-489713PAK.html,2026-06-26,Jumbo,Yoghurt,489713PAK,Arla_Lactofree_volle_yoghurt_lactosevrij_1L,Arla,2.3,2.3,1000.0,2.3,54.3,31.0,18.0,18.0,41.0,0.9
arla-skyr-aardbei-yoghurt-0-vet-450g-217285STK.html,2026-06-26,Jumbo,Yoghurt,217285STK,Arla_Skyr_Aardbei_Yoghurt_0%_vet_450g,Arla,2.2,4.9,449.7,4.9,70.0,0.0,33.3,31.0,39.6,0.6
arla-skyr-kokos-yoghurt-0-vet-450g-547426BKR.html,2026-06-26,Jumbo,Yoghurt,547426BKR,Arla_Skyr_Kokos_Yoghurt_0%_vet_450g,Arla,2.2,4.9,449.7,4.9,75.0,2.2,36.0,33.7,38.7,0.5
arla-skyr-naturel-0-fat-200-g-739031CUP.html,2026-06-26,Jumbo,Yoghurt,739031CUP,Arla_Skyr_Naturel_0%_Fat_200_g,Arla,1.5,7.4,200.0,7.5,60.9,0.0,8.0,8.0,20.0,0.3
arla-skyr-naturel-yoghurt-0-vet-450g-161154BKR.html,2026-06-26,Jumbo,Yoghurt,161154BKR,Arla_Skyr_Naturel_Yoghurt_0%_vet_450g,Arla,2.0,4.4,450.2,4.4,60.9,0.0,18.0,18.0,45.0,0.6
arla-skyr-naturel-yoghurt-0-vet-xl-1kg-248004STK.html,2026-06-26,Jumbo,Yoghurt,248004STK,Arla_Skyr_Naturel_Yoghurt_0%_vet_XL_1kg,Arla,4.0,4.0,1000.0,4.0,60.9,0.0,40.0,40.0,100.0,1.4
arla-skyr-vanille-yoghurt-0-vet-450g-179901STK.html,2026-06-26,Jumbo,Yoghurt,179901STK,Arla_Skyr_Vanille_Yoghurt_0%_vet_450g,Arla,2.2,4.9,449.7,4.9,73.1,0.0,37.3,33.7,38.7,0.5
arla-skyr-vanille-yoghurt-0-vet-xl-1kg-368428EM.html,2026-06-26,Jumbo,Yoghurt,368428EM,Arla_Skyr_Vanille_Yoghurt_0%_vet_XL_1kg,Arla,4.2,4.2,1000.0,4.2,73.9,0.0,86.0,75.0,,1.2
campina-griekse-stijl-yoghurt-10-vet-1-kg-284575EM.html,2026-06-26,Jumbo,Yoghurt,284575EM,Campina_Griekse_Stijl_Yoghurt_10%_Vet_1_kg,Campina,3.5,3.5,1000.0,3.5,123.8,100.0,38.0,38.0,43.0,1.5
campina-griekse-stijl-yoghurt-2-vet-1-kg-428922BKR.html,2026-06-26,Jumbo,Yoghurt,428922BKR,Campina_Griekse_Stijl_Yoghurt_2%_Vet_1_kg,Campina,3.4,3.4,1000.0,3.4,63.8,20.0,41.0,41.0,64.0,2.5
campina-halfvolle-yoghurt-extra-proteine-1-l-736023PAK.html,2026-06-26,Jumbo,Yoghurt,736023PAK,Campina_Halfvolle_Yoghurt_Extra_Proteïne_1_L,Campina,2.0,2.0,1000.0,2.0,61.9,15.0,51.0,51.0,,1.5
campina-halfvolle-yoghurt-vanillesmaak-1-l-527080PAK.html,2026-06-26,Jumbo,Yoghurt,527080PAK,Campina_Halfvolle_Yoghurt_Vanillesmaak_1_L,Campina,2.0,2.0,1000.0,2.0,75.8,16.0,110.0,100.0,31.0,0.9
